1,which,which.sigml
2,note-book,note-book.sigml
3,eyelash,eyelash.sigml
4,all,all.sigml
5,brighton,brighton.sigml
6,number,number.sigml
7,order,order.sigml
8,then,then.sigml
9,their,their.sigml
10,loud,loud.sigml
11,vote,vote.sigml
12,allah,allah.sigml
13,sixhundred,sixhundred.sigml
14,dance,dance.sigml
15,rectangle,rectangle.sigml
16,relation,relation.sigml
17,continue,continue.sigml
18,loss1,loss1.sigml
19,engineer,engineer.sigml
20,keyboard,keyboard.sigml
21,actor,actor.sigml
22,nails,nails.sigml
23,jug,jug.sigml
24,interesting,interesting.sigml
25,ooty,ooty.sigml
26,allover,allover.sigml
27,laboratory,laboratory.sigml
28,trade-equipment,trade-equipment.sigml
29,paranoid,paranoid.sigml
30,tree,tree.sigml
31,10,10.sigml
32,why,why.sigml
33,center,center.sigml
34,sunday,sunday.sigml
35,6,6.sigml
36,tie,tie.sigml
37,f,F.sigml
38,o,o.sigml
39,infrontof,infrontof.sigml
40,enjoy,enjoy.sigml
41,weewee,weewee.sigml
42,transport,transport.sigml
43,youfillinwipe-off,youfillinwipe-off.sigml
44,iunderstand,iunderstand.sigml
45,long,long.sigml
46,join,join.sigml
47,past,past.sigml
48,tease,tease.sigml
49,h,h.sigml
50,woman,woman.sigml
51,search,search.sigml
52,hundred,hundred.sigml
53,q,q.sigml
54,table-tennis,table-tennis.sigml
55,pay-me,pay-me.sigml
56,walkacross,walkacross.sigml
57,clap,clap.sigml
58,pot,pot.sigml
59,bell,bell.sigml
60,office,office.sigml
61,autorickshaw,autorickshaw.sigml
62,lose,lose.sigml
63,building,building.sigml
64,thermus,thermus.sigml
65,wheat,wheat.sigml
66,hindu,hindu.sigml
67,discuss,discuss.sigml
68,congratulations,congratulations.sigml
69,understand,understand.sigml
70,teachme,teachme.sigml
71,sorry,sorry.sigml
72,him,him.sigml
73,vadodara,vadodara.sigml
74,benefit,benefit.sigml
75,mind,mind.sigml
76,bhagat,bhagat.sigml
77,black,black.sigml
78,knowledge,knowledge.sigml
79,deaf,deaf.sigml
80,certificate,certificate.sigml
81,asia,asia.sigml
82,date,date.sigml
83,changeback,changeback.sigml
84,bad,bad.sigml
85,germany,germany.sigml
86,doctor1,doctor1.sigml
87,empty,empty.sigml
88,west,west.sigml
89,train,train.sigml
90,example,example.sigml
91,urdu,urdu.sigml
92,computer,computer.sigml
93,absorb,absorb.sigml
94,kanpur,kanpur.sigml
95,la,la.sigml
96,two,two.sigml
97,telgu,telgu.sigml
98,weight,weight.sigml
99,axe,axe.sigml
100,them,them.sigml
101,climbdown,climbdown.sigml
102,christmas,christmas.sigml
103,april,april.sigml
104,tuesday,tuesday.sigml
105,agree,agree.sigml
106,welcome,welcome.sigml
107,c,c.sigml
108,result,result.sigml
109,january,january.sigml
110,languages,languages.sigml
111,chase,chase.sigml
112,ambulance,ambulance.sigml
113,worse,worse.sigml
114,turnip,turnip.sigml
115,talk,talk.sigml
116,k,K.sigml
117,eightoclock,eightoclock.sigml
118,colours,colours.sigml
119,cancel,cancel.sigml
120,g,g.sigml
121,england,england.sigml
122,changemind,changemind.sigml
123,opendoors,opendoors.sigml
124,berth,berth.sigml
125,wash,wash.sigml
126,zebra-crossing,zebra-crossing.sigml
127,north-pole,north-pole.sigml
128,boat,boat.sigml
129,auditorium,auditorium.sigml
130,offer,offer.sigml
131,13,13.sigml
132,library,library.sigml
133,tv,tv.sigml
134,differences,differences.sigml
135,before,before.sigml
136,march,march.sigml
137,i,I.sigml
138,weaver,weaver.sigml
139,build,build.sigml
140,wrestling,wrestling.sigml
141,broom,broom.sigml
142,america,america.sigml
143,buddha,buddha.sigml
144,under,under.sigml
145,actress,actress.sigml
146,responsible,responsible.sigml
147,clown,clown.sigml
148,thankyou,thankyou.sigml
149,austria,austria.sigml
150,contact,contact.sigml
151,halfpast,halfpast.sigml
152,fly,fly.sigml
153,nagpur,nagpur.sigml
154,shake,shake.sigml
155,van,van.sigml
156,howmuch,howmuch.sigml
157,in,in.sigml
158,bowl,bowl.sigml
159,few,few.sigml
160,advice,advice.sigml
161,repeat,repeat.sigml
162,money,money.sigml
163,letmeknow,letmeknow.sigml
164,t,T.sigml
165,eight,eight.sigml
166,remind,remind.sigml
167,next,next.sigml
168,thorn,thorn.sigml
169,umbrella,umbrella.sigml
170,keep,keep.sigml
171,askquestion,askquestion.sigml
172,car,car.sigml
173,tall,tall.sigml
174,these,these.sigml
175,technical,technical.sigml
176,book,book.sigml
177,often,often.sigml
178,n,n.sigml
